,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User
0,-0.6249,Mon Mar 26 19:03:02 +0000 2018,0.806,0.194,0.0,1,@BBC
1,0.7783,Mon Mar 26 18:24:04 +0000 2018,0.688,0.0,0.312,2,@BBC
2,0.0,Mon Mar 26 17:30:04 +0000 2018,1.0,0.0,0.0,3,@BBC
3,0.5859,Mon Mar 26 16:25:02 +0000 2018,0.787,0.0,0.213,4,@BBC
4,-0.3818,Mon Mar 26 15:45:04 +0000 2018,0.744,0.161,0.095,5,@BBC
5,0.0,Mon Mar 26 15:11:57 +0000 2018,1.0,0.0,0.0,6,@BBC
6,0.0,Mon Mar 26 12:58:02 +0000 2018,1.0,0.0,0.0,7,@BBC
7,0.4404,Mon Mar 26 11:48:03 +0000 2018,0.828,0.0,0.172,8,@BBC
8,-0.5106,Mon Mar 26 11:00:05 +0000 2018,0.837,0.163,0.0,9,@BBC
9,-0.128,Mon Mar 26 10:00:07 +0000 2018,0.93,0.07,0.0,10,@BBC
10,0.4588,Mon Mar 26 09:35:06 +0000 2018,0.864,0.0,0.136,11,@BBC
11,0.3182,Mon Mar 26 09:33:01 +0000 2018,0.753,0.0,0.247,12,@BBC
12,0.0,Mon Mar 26 09:04:01 +0000 2018,1.0,0.0,0.0,13,@BBC
13,0.5819,Mon Mar 26 08:29:04 +0000 2018,0.818,0.0,0.182,14,@BBC
14,0.2263,Mon Mar 26 07:30:10 +0000 2018,0.749,0.09,0.161,15,@BBC
15,0.128,Sun Mar 25 19:44:01 +0000 2018,0.821,0.077,0.101,16,@BBC
16,-0.7506,Sun Mar 25 19:15:06 +0000 2018,0.714,0.286,0.0,17,@BBC
17,0.5719,Sun Mar 25 18:40:04 +0000 2018,0.837,0.0,0.163,18,@BBC
18,0.0,Sun Mar 25 18:13:03 +0000 2018,1.0,0.0,0.0,19,@BBC
19,0.5267,Sun Mar 25 17:30:07 +0000 2018,0.815,0.0,0.185,20,@BBC
20,0.4588,Sun Mar 25 15:03:03 +0000 2018,0.833,0.0,0.167,21,@BBC
21,0.0,Sun Mar 25 14:30:02 +0000 2018,1.0,0.0,0.0,22,@BBC
22,0.1779,Sun Mar 25 14:09:03 +0000 2018,0.909,0.0,0.091,23,@BBC
23,0.5574,Sun Mar 25 13:03:04 +0000 2018,0.816,0.0,0.184,24,@BBC
24,0.0,Sun Mar 25 12:03:02 +0000 2018,1.0,0.0,0.0,25,@BBC
25,0.0,Sun Mar 25 10:30:04 +0000 2018,1.0,0.0,0.0,26,@BBC
26,-0.3612,Sun Mar 25 09:30:15 +0000 2018,0.839,0.161,0.0,27,@BBC
27,0.5719,Sun Mar 25 08:43:31 +0000 2018,0.764,0.0,0.236,28,@BBC
28,-0.4019,Sun Mar 25 08:43:26 +0000 2018,0.899,0.101,0.0,29,@BBC
29,0.0,Sun Mar 25 08:43:22 +0000 2018,1.0,0.0,0.0,30,@BBC
30,-0.25,Sun Mar 25 08:00:12 +0000 2018,0.743,0.153,0.104,31,@BBC
31,0.0,Sun Mar 25 07:34:02 +0000 2018,1.0,0.0,0.0,32,@BBC
32,-0.4215,Sun Mar 25 07:02:00 +0000 2018,0.859,0.141,0.0,33,@BBC
33,-0.3818,Sat Mar 24 20:34:01 +0000 2018,0.885,0.115,0.0,34,@BBC
34,0.4767,Sat Mar 24 20:00:11 +0000 2018,0.866,0.0,0.134,35,@BBC
35,0.5859,Sat Mar 24 19:16:04 +0000 2018,0.817,0.0,0.183,36,@BBC
36,0.5719,Sat Mar 24 18:44:04 +0000 2018,0.748,0.0,0.252,37,@BBC
37,0.3182,Sat Mar 24 18:02:01 +0000 2018,0.777,0.0,0.223,38,@BBC
38,0.0,Sat Mar 24 17:01:01 +0000 2018,1.0,0.0,0.0,39,@BBC
39,0.2732,Sat Mar 24 15:30:10 +0000 2018,0.788,0.083,0.129,40,@BBC
40,-0.0772,Sat Mar 24 15:00:06 +0000 2018,0.719,0.15,0.131,41,@BBC
41,0.0,Sat Mar 24 14:01:47 +0000 2018,1.0,0.0,0.0,42,@BBC
42,0.296,Sat Mar 24 14:01:32 +0000 2018,0.845,0.0,0.155,43,@BBC
43,0.0,Sat Mar 24 13:03:01 +0000 2018,1.0,0.0,0.0,44,@BBC
44,0.1867,Sat Mar 24 12:33:04 +0000 2018,0.902,0.0,0.098,45,@BBC
45,0.0,Sat Mar 24 11:29:04 +0000 2018,1.0,0.0,0.0,46,@BBC
46,0.4215,Sat Mar 24 10:31:01 +0000 2018,0.833,0.0,0.167,47,@BBC
47,0.5411,Sat Mar 24 10:03:01 +0000 2018,0.857,0.0,0.143,48,@BBC
48,0.0,Sat Mar 24 09:42:34 +0000 2018,1.0,0.0,0.0,49,@BBC
49,0.0,Sat Mar 24 09:32:59 +0000 2018,1.0,0.0,0.0,50,@BBC
50,0.4995,Sat Mar 24 09:31:30 +0000 2018,0.867,0.0,0.133,51,@BBC
51,0.128,Sat Mar 24 09:31:26 +0000 2018,0.85,0.065,0.085,52,@BBC
52,0.0,Sat Mar 24 09:30:13 +0000 2018,1.0,0.0,0.0,53,@BBC
53,0.0,Sat Mar 24 08:33:02 +0000 2018,1.0,0.0,0.0,54,@BBC
54,0.0,Fri Mar 23 19:07:00 +0000 2018,1.0,0.0,0.0,55,@BBC
55,-0.296,Fri Mar 23 18:03:04 +0000 2018,0.864,0.136,0.0,56,@BBC
56,0.0,Fri Mar 23 17:33:03 +0000 2018,1.0,0.0,0.0,57,@BBC
57,0.0,Fri Mar 23 17:02:01 +0000 2018,1.0,0.0,0.0,58,@BBC
58,0.0,Fri Mar 23 16:27:45 +0000 2018,1.0,0.0,0.0,59,@BBC
59,0.7783,Fri Mar 23 16:00:12 +0000 2018,0.714,0.0,0.286,60,@BBC
60,-0.4479,Fri Mar 23 14:33:40 +0000 2018,0.828,0.172,0.0,61,@BBC
61,0.5994,Fri Mar 23 14:03:08 +0000 2018,0.813,0.0,0.187,62,@BBC
62,-0.4767,Fri Mar 23 14:00:02 +0000 2018,0.871,0.129,0.0,63,@BBC
63,0.6114,Fri Mar 23 13:33:04 +0000 2018,0.8,0.0,0.2,64,@BBC
64,0.4939,Fri Mar 23 13:03:02 +0000 2018,0.741,0.0,0.259,65,@BBC
65,0.0,Fri Mar 23 11:42:55 +0000 2018,1.0,0.0,0.0,66,@BBC
66,-0.2006,Fri Mar 23 11:42:51 +0000 2018,0.754,0.139,0.107,67,@BBC
67,0.0,Fri Mar 23 11:42:48 +0000 2018,1.0,0.0,0.0,68,@BBC
68,0.3612,Fri Mar 23 11:42:43 +0000 2018,0.872,0.0,0.128,69,@BBC
69,0.2648,Fri Mar 23 11:30:05 +0000 2018,0.897,0.0,0.103,70,@BBC
70,-0.6016,Fri Mar 23 10:33:01 +0000 2018,0.813,0.187,0.0,71,@BBC
71,0.8555,Fri Mar 23 10:03:03 +0000 2018,0.657,0.0,0.343,72,@BBC
72,0.765,Fri Mar 23 09:30:03 +0000 2018,0.583,0.0,0.417,73,@BBC
73,0.0,Fri Mar 23 08:33:01 +0000 2018,1.0,0.0,0.0,74,@BBC
74,0.1511,Thu Mar 22 21:39:27 +0000 2018,0.85,0.0,0.15,75,@BBC
75,0.2732,Thu Mar 22 21:30:01 +0000 2018,0.884,0.0,0.116,76,@BBC
76,0.0,Thu Mar 22 21:20:05 +0000 2018,1.0,0.0,0.0,77,@BBC
77,-0.6486,Thu Mar 22 20:30:01 +0000 2018,0.798,0.202,0.0,78,@BBC
78,0.0,Thu Mar 22 19:04:04 +0000 2018,1.0,0.0,0.0,79,@BBC
79,0.0516,Thu Mar 22 18:30:09 +0000 2018,0.625,0.159,0.216,80,@BBC
80,-0.25,Thu Mar 22 17:33:04 +0000 2018,0.917,0.083,0.0,81,@BBC
81,0.0,Thu Mar 22 17:03:54 +0000 2018,1.0,0.0,0.0,82,@BBC
82,0.128,Thu Mar 22 17:03:05 +0000 2018,0.795,0.092,0.113,83,@BBC
83,-0.4753,Thu Mar 22 16:04:06 +0000 2018,0.872,0.128,0.0,84,@BBC
84,0.4184,Thu Mar 22 15:00:43 +0000 2018,0.859,0.0,0.141,85,@BBC
85,-0.9168,Thu Mar 22 15:00:01 +0000 2018,0.615,0.385,0.0,86,@BBC
86,0.6705,Thu Mar 22 14:30:10 +0000 2018,0.594,0.1,0.306,87,@BBC
87,0.4215,Thu Mar 22 13:53:48 +0000 2018,0.882,0.0,0.118,88,@BBC
88,-0.4767,Thu Mar 22 13:33:04 +0000 2018,0.871,0.129,0.0,89,@BBC
89,0.0,Thu Mar 22 13:14:13 +0000 2018,1.0,0.0,0.0,90,@BBC
90,-0.7184,Thu Mar 22 13:02:00 +0000 2018,0.76,0.24,0.0,91,@BBC
91,-0.4404,Thu Mar 22 12:30:10 +0000 2018,0.868,0.132,0.0,92,@BBC
92,0.5423,Thu Mar 22 11:30:17 +0000 2018,0.811,0.0,0.189,93,@BBC
93,0.0,Thu Mar 22 10:58:34 +0000 2018,1.0,0.0,0.0,94,@BBC
94,-0.5994,Thu Mar 22 10:49:54 +0000 2018,0.755,0.245,0.0,95,@BBC
95,-0.296,Thu Mar 22 10:30:09 +0000 2018,0.784,0.216,0.0,96,@BBC
96,0.0,Thu Mar 22 09:54:21 +0000 2018,1.0,0.0,0.0,97,@BBC
97,0.0,Thu Mar 22 09:33:03 +0000 2018,1.0,0.0,0.0,98,@BBC
98,-0.3612,Thu Mar 22 08:33:02 +0000 2018,0.815,0.185,0.0,99,@BBC
99,0.0,Wed Mar 21 20:56:41 +0000 2018,1.0,0.0,0.0,100,@BBC
100,0.508,Mon Mar 26 22:14:25 +0000 2018,0.88,0.0,0.12,1,@CBS
101,0.0,Mon Mar 26 20:42:48 +0000 2018,1.0,0.0,0.0,2,@CBS
102,0.7959,Mon Mar 26 16:59:19 +0000 2018,0.786,0.0,0.214,3,@CBS
103,0.807,Mon Mar 26 16:05:18 +0000 2018,0.622,0.0,0.378,4,@CBS
104,0.0,Sun Mar 25 23:57:34 +0000 2018,1.0,0.0,0.0,5,@CBS
105,0.5319,Sun Mar 25 17:15:25 +0000 2018,0.78,0.062,0.157,6,@CBS
106,0.5399,Sat Mar 24 22:46:53 +0000 2018,0.801,0.0,0.199,7,@CBS
107,-0.34,Sat Mar 24 22:46:43 +0000 2018,0.7,0.185,0.115,8,@CBS
108,0.7003,Sat Mar 24 22:25:03 +0000 2018,0.791,0.0,0.209,9,@CBS
109,0.0,Sat Mar 24 22:21:37 +0000 2018,1.0,0.0,0.0,10,@CBS
110,0.0,Sat Mar 24 22:21:34 +0000 2018,1.0,0.0,0.0,11,@CBS
111,0.7184,Sat Mar 24 22:21:26 +0000 2018,0.667,0.0,0.333,12,@CBS
112,0.9451,Sat Mar 24 22:21:23 +0000 2018,0.58,0.0,0.42,13,@CBS
113,0.0,Sat Mar 24 20:00:02 +0000 2018,1.0,0.0,0.0,14,@CBS
114,0.6996,Fri Mar 23 22:33:52 +0000 2018,0.806,0.0,0.194,15,@CBS
115,0.4939,Fri Mar 23 22:33:04 +0000 2018,0.686,0.0,0.314,16,@CBS
116,0.8997,Fri Mar 23 22:32:48 +0000 2018,0.645,0.0,0.355,17,@CBS
117,0.0,Thu Mar 22 22:10:29 +0000 2018,1.0,0.0,0.0,18,@CBS
118,0.7081,Thu Mar 22 20:52:02 +0000 2018,0.623,0.066,0.311,19,@CBS
119,0.636,Thu Mar 22 00:23:38 +0000 2018,0.802,0.0,0.198,20,@CBS
120,0.0,Wed Mar 21 18:00:01 +0000 2018,1.0,0.0,0.0,21,@CBS
121,0.5106,Tue Mar 20 20:00:01 +0000 2018,0.858,0.0,0.142,22,@CBS
122,0.0,Tue Mar 20 17:58:43 +0000 2018,1.0,0.0,0.0,23,@CBS
123,0.5562,Tue Mar 20 16:52:42 +0000 2018,0.826,0.0,0.174,24,@CBS
124,0.0,Tue Mar 20 16:11:00 +0000 2018,1.0,0.0,0.0,25,@CBS
125,0.7845,Mon Mar 19 21:02:26 +0000 2018,0.619,0.072,0.309,26,@CBS
126,0.0,Sun Mar 18 23:44:30 +0000 2018,1.0,0.0,0.0,27,@CBS
127,0.6514,Sun Mar 18 18:05:43 +0000 2018,0.787,0.0,0.213,28,@CBS
128,0.1867,Sun Mar 18 17:09:53 +0000 2018,0.92,0.0,0.08,29,@CBS
129,0.0,Sat Mar 17 19:00:02 +0000 2018,1.0,0.0,0.0,30,@CBS
130,0.6166,Sat Mar 17 17:42:43 +0000 2018,0.839,0.0,0.161,31,@CBS
131,0.7096,Sat Mar 17 14:00:03 +0000 2018,0.753,0.0,0.247,32,@CBS
132,0.296,Fri Mar 16 22:53:21 +0000 2018,0.896,0.0,0.104,33,@CBS
133,0.0,Fri Mar 16 18:15:53 +0000 2018,1.0,0.0,0.0,34,@CBS
134,0.6514,Fri Mar 16 16:28:40 +0000 2018,0.822,0.0,0.178,35,@CBS
135,0.7088,Thu Mar 15 17:54:06 +0000 2018,0.763,0.0,0.237,36,@CBS
136,-0.4939,Thu Mar 15 17:20:26 +0000 2018,0.766,0.157,0.077,37,@CBS
137,0.6514,Thu Mar 15 16:42:41 +0000 2018,0.806,0.0,0.194,38,@CBS
138,0.6115,Thu Mar 15 14:32:16 +0000 2018,0.734,0.0,0.266,39,@CBS
139,0.6696,Wed Mar 14 19:30:01 +0000 2018,0.781,0.0,0.219,40,@CBS
140,0.3612,Tue Mar 13 18:48:52 +0000 2018,0.857,0.0,0.143,41,@CBS
141,0.539,Tue Mar 13 14:15:10 +0000 2018,0.821,0.0,0.179,42,@CBS
142,0.2244,Mon Mar 12 18:13:28 +0000 2018,0.917,0.0,0.083,43,@CBS
143,0.0,Mon Mar 12 01:20:43 +0000 2018,1.0,0.0,0.0,44,@CBS
144,0.4926,Fri Mar 09 22:48:26 +0000 2018,0.883,0.0,0.117,45,@CBS
145,0.1275,Fri Mar 09 22:24:20 +0000 2018,0.795,0.092,0.113,46,@CBS
146,0.4215,Fri Mar 09 21:10:21 +0000 2018,0.823,0.0,0.177,47,@CBS
147,0.8658,Fri Mar 09 18:27:28 +0000 2018,0.553,0.0,0.447,48,@CBS
148,0.0,Fri Mar 09 16:02:27 +0000 2018,1.0,0.0,0.0,49,@CBS
149,0.8625,Thu Mar 08 18:00:49 +0000 2018,0.664,0.0,0.336,50,@CBS
150,0.4926,Thu Mar 08 17:03:04 +0000 2018,0.868,0.0,0.132,51,@CBS
151,-0.2023,Wed Mar 07 18:39:10 +0000 2018,0.619,0.23,0.15,52,@CBS
152,0.0,Wed Mar 07 17:06:02 +0000 2018,1.0,0.0,0.0,53,@CBS
153,0.6705,Tue Mar 06 18:10:59 +0000 2018,0.756,0.0,0.244,54,@CBS
154,0.3818,Mon Mar 05 22:16:43 +0000 2018,0.833,0.0,0.167,55,@CBS
155,0.4404,Sun Mar 04 08:05:26 +0000 2018,0.884,0.0,0.116,56,@CBS
156,0.0,Sat Mar 03 20:55:20 +0000 2018,1.0,0.0,0.0,57,@CBS
157,0.7096,Fri Mar 02 22:30:01 +0000 2018,0.753,0.0,0.247,58,@CBS
158,0.7096,Fri Mar 02 20:30:01 +0000 2018,0.718,0.0,0.282,59,@CBS
159,0.4939,Fri Mar 02 18:45:00 +0000 2018,0.849,0.0,0.151,60,@CBS
160,-0.6981,Thu Mar 01 18:59:01 +0000 2018,0.79,0.21,0.0,61,@CBS
161,0.4547,Thu Mar 01 18:12:57 +0000 2018,0.749,0.092,0.159,62,@CBS
162,0.8591,Thu Mar 01 18:11:50 +0000 2018,0.462,0.0,0.538,63,@CBS
163,0.4885,Thu Mar 01 18:10:50 +0000 2018,0.615,0.151,0.234,64,@CBS
164,0.5994,Thu Mar 01 14:36:21 +0000 2018,0.822,0.0,0.178,65,@CBS
165,0.7717,Thu Mar 01 14:29:20 +0000 2018,0.675,0.0,0.325,66,@CBS
166,0.6908,Thu Mar 01 14:15:29 +0000 2018,0.725,0.0,0.275,67,@CBS
167,0.0,Thu Mar 01 13:50:11 +0000 2018,1.0,0.0,0.0,68,@CBS
168,0.0,Thu Mar 01 01:04:52 +0000 2018,1.0,0.0,0.0,69,@CBS
169,0.0,Wed Feb 28 19:56:58 +0000 2018,1.0,0.0,0.0,70,@CBS
170,0.4404,Wed Feb 28 19:08:30 +0000 2018,0.884,0.0,0.116,71,@CBS
171,0.5562,Tue Feb 27 03:23:47 +0000 2018,0.848,0.0,0.152,72,@CBS
172,0.0,Mon Feb 26 22:50:32 +0000 2018,1.0,0.0,0.0,73,@CBS
173,0.0,Mon Feb 26 21:08:30 +0000 2018,1.0,0.0,0.0,74,@CBS
174,0.4482,Mon Feb 26 19:53:41 +0000 2018,0.895,0.0,0.105,75,@CBS
175,0.784,Mon Feb 26 18:32:36 +0000 2018,0.734,0.0,0.266,76,@CBS
176,0.9359,Mon Feb 26 18:20:16 +0000 2018,0.571,0.0,0.429,77,@CBS
177,-0.5423,Mon Feb 26 16:53:56 +0000 2018,0.816,0.184,0.0,78,@CBS
178,0.0,Mon Feb 26 16:52:01 +0000 2018,1.0,0.0,0.0,79,@CBS
179,0.0,Mon Feb 26 16:17:55 +0000 2018,1.0,0.0,0.0,80,@CBS
180,0.7644,Mon Feb 26 01:12:32 +0000 2018,0.769,0.0,0.231,81,@CBS
181,0.0,Sun Feb 25 21:51:32 +0000 2018,1.0,0.0,0.0,82,@CBS
182,0.0,Sun Feb 25 21:51:22 +0000 2018,1.0,0.0,0.0,83,@CBS
183,0.5093,Fri Feb 23 18:15:40 +0000 2018,0.845,0.0,0.155,84,@CBS
184,0.0,Thu Feb 22 19:26:52 +0000 2018,1.0,0.0,0.0,85,@CBS
185,0.0,Wed Feb 21 19:20:04 +0000 2018,1.0,0.0,0.0,86,@CBS
186,0.6808,Wed Feb 21 18:19:25 +0000 2018,0.752,0.0,0.248,87,@CBS
187,0.4404,Tue Feb 20 19:55:19 +0000 2018,0.884,0.0,0.116,88,@CBS
188,-0.4019,Tue Feb 20 17:58:18 +0000 2018,0.881,0.119,0.0,89,@CBS
189,0.3612,Tue Feb 20 17:39:51 +0000 2018,0.872,0.0,0.128,90,@CBS
190,0.6124,Sat Feb 17 01:07:20 +0000 2018,0.773,0.0,0.227,91,@CBS
191,0.3182,Fri Feb 16 18:42:43 +0000 2018,0.892,0.0,0.108,92,@CBS
192,0.68,Fri Feb 16 17:48:20 +0000 2018,0.752,0.0,0.248,93,@CBS
193,0.8619,Wed Feb 14 19:23:27 +0000 2018,0.534,0.0,0.466,94,@CBS
194,0.0,Tue Feb 13 20:03:56 +0000 2018,1.0,0.0,0.0,95,@CBS
195,0.7506,Tue Feb 13 18:54:52 +0000 2018,0.748,0.0,0.252,96,@CBS
196,0.0,Mon Feb 12 18:49:45 +0000 2018,1.0,0.0,0.0,97,@CBS
197,0.0,Mon Feb 12 01:32:33 +0000 2018,1.0,0.0,0.0,98,@CBS
198,0.8478,Fri Feb 09 00:50:01 +0000 2018,0.696,0.0,0.304,99,@CBS
199,-0.5859,Thu Feb 08 16:09:35 +0000 2018,0.814,0.186,0.0,100,@CBS
200,0.3919,Tue Mar 27 05:01:06 +0000 2018,0.883,0.0,0.117,1,@CNN
201,0.0,Tue Mar 27 04:46:01 +0000 2018,1.0,0.0,0.0,2,@CNN
202,0.0772,Tue Mar 27 04:31:06 +0000 2018,0.804,0.09,0.106,3,@CNN
203,0.3612,Tue Mar 27 04:16:53 +0000 2018,0.884,0.0,0.116,4,@CNN
204,0.5574,Tue Mar 27 04:01:06 +0000 2018,0.865,0.0,0.135,5,@CNN
205,0.0,Tue Mar 27 03:46:05 +0000 2018,1.0,0.0,0.0,6,@CNN
206,0.0,Tue Mar 27 03:31:03 +0000 2018,1.0,0.0,0.0,7,@CNN
207,0.0,Tue Mar 27 03:16:03 +0000 2018,1.0,0.0,0.0,8,@CNN
208,-0.2732,Tue Mar 27 03:01:03 +0000 2018,0.861,0.139,0.0,9,@CNN
209,-0.34,Tue Mar 27 02:46:04 +0000 2018,0.862,0.138,0.0,10,@CNN
210,0.0,Tue Mar 27 02:31:06 +0000 2018,1.0,0.0,0.0,11,@CNN
211,0.4939,Tue Mar 27 02:30:54 +0000 2018,0.882,0.0,0.118,12,@CNN
212,-0.2023,Tue Mar 27 02:22:26 +0000 2018,0.909,0.091,0.0,13,@CNN
213,0.1531,Tue Mar 27 02:19:29 +0000 2018,0.794,0.091,0.115,14,@CNN
214,0.5106,Tue Mar 27 02:15:07 +0000 2018,0.752,0.0,0.248,15,@CNN
215,0.0,Tue Mar 27 02:00:18 +0000 2018,1.0,0.0,0.0,16,@CNN
216,-0.4767,Tue Mar 27 01:55:36 +0000 2018,0.846,0.154,0.0,17,@CNN
217,-0.5423,Tue Mar 27 01:51:01 +0000 2018,0.829,0.171,0.0,18,@CNN
218,-0.6486,Tue Mar 27 01:45:06 +0000 2018,0.751,0.249,0.0,19,@CNN
219,-0.2732,Tue Mar 27 01:42:33 +0000 2018,0.877,0.123,0.0,20,@CNN
220,0.0,Tue Mar 27 01:40:31 +0000 2018,1.0,0.0,0.0,21,@CNN
221,0.1779,Tue Mar 27 01:39:08 +0000 2018,0.928,0.0,0.072,22,@CNN
222,-0.0516,Tue Mar 27 01:30:11 +0000 2018,0.759,0.127,0.114,23,@CNN
223,-0.1114,Tue Mar 27 01:25:03 +0000 2018,0.819,0.101,0.08,24,@CNN
224,-0.2732,Tue Mar 27 01:20:05 +0000 2018,0.884,0.116,0.0,25,@CNN
225,-0.6597,Tue Mar 27 01:15:07 +0000 2018,0.5,0.372,0.128,26,@CNN
226,0.0,Tue Mar 27 01:10:02 +0000 2018,1.0,0.0,0.0,27,@CNN
227,0.4215,Tue Mar 27 01:00:25 +0000 2018,0.833,0.0,0.167,28,@CNN
228,-0.0258,Tue Mar 27 00:55:04 +0000 2018,0.939,0.061,0.0,29,@CNN
229,0.0,Tue Mar 27 00:51:19 +0000 2018,1.0,0.0,0.0,30,@CNN
230,0.3182,Tue Mar 27 00:50:03 +0000 2018,0.897,0.0,0.103,31,@CNN
231,0.4019,Tue Mar 27 00:45:05 +0000 2018,0.803,0.0,0.197,32,@CNN
232,-0.4019,Tue Mar 27 00:40:07 +0000 2018,0.766,0.153,0.081,33,@CNN
233,0.4767,Tue Mar 27 00:35:04 +0000 2018,0.838,0.0,0.162,34,@CNN
234,-0.6808,Tue Mar 27 00:30:16 +0000 2018,0.728,0.272,0.0,35,@CNN
235,-0.6486,Tue Mar 27 00:25:04 +0000 2018,0.694,0.306,0.0,36,@CNN
236,-0.3818,Tue Mar 27 00:22:00 +0000 2018,0.86,0.14,0.0,37,@CNN
237,0.0,Tue Mar 27 00:15:06 +0000 2018,1.0,0.0,0.0,38,@CNN
238,-0.2584,Tue Mar 27 00:12:51 +0000 2018,0.915,0.085,0.0,39,@CNN
239,-0.7845,Tue Mar 27 00:10:06 +0000 2018,0.669,0.331,0.0,40,@CNN
240,0.0,Tue Mar 27 00:05:30 +0000 2018,1.0,0.0,0.0,41,@CNN
241,0.25,Tue Mar 27 00:05:09 +0000 2018,0.707,0.121,0.172,42,@CNN
242,0.0772,Tue Mar 27 00:00:19 +0000 2018,0.544,0.218,0.238,43,@CNN
243,0.765,Mon Mar 26 23:55:17 +0000 2018,0.742,0.0,0.258,44,@CNN
244,-0.3818,Mon Mar 26 23:48:48 +0000 2018,0.809,0.191,0.0,45,@CNN
245,-0.8658,Mon Mar 26 23:45:04 +0000 2018,0.553,0.447,0.0,46,@CNN
246,-0.5859,Mon Mar 26 23:38:28 +0000 2018,0.798,0.202,0.0,47,@CNN
247,0.0,Mon Mar 26 23:30:14 +0000 2018,1.0,0.0,0.0,48,@CNN
248,0.0,Mon Mar 26 23:15:03 +0000 2018,1.0,0.0,0.0,49,@CNN
249,0.0,Mon Mar 26 23:10:09 +0000 2018,1.0,0.0,0.0,50,@CNN
250,0.2263,Mon Mar 26 23:05:01 +0000 2018,0.888,0.0,0.112,51,@CNN
251,-0.9062,Mon Mar 26 23:00:28 +0000 2018,0.383,0.617,0.0,52,@CNN
252,0.0,Mon Mar 26 22:55:04 +0000 2018,1.0,0.0,0.0,53,@CNN
253,0.0,Mon Mar 26 22:45:07 +0000 2018,1.0,0.0,0.0,54,@CNN
254,0.4767,Mon Mar 26 22:41:27 +0000 2018,0.866,0.0,0.134,55,@CNN
255,0.4939,Mon Mar 26 22:40:57 +0000 2018,0.789,0.0,0.211,56,@CNN
256,0.0,Mon Mar 26 22:32:24 +0000 2018,1.0,0.0,0.0,57,@CNN
